domain_concept_name,domain_concept_id,min_month,max_month,Gestational_TimeSpan_months,GT_month_midpoint
Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,3009306,3.75,5.5,1.75,4.625
Alpha-1-Fetoprotein [Multiple of the median] adjusted in Serum or Plasma,3016670,3.75,5.5,1.75,4.625
Alpha-1-Fetoprotein [Multiple of the median] in Serum or Plasma,3024370,3.75,5.5,1.75,4.625
Alpha-fetoprotein (AFP); serum,2212198,3.75,5.5,1.75,4.625
Amniocentesis; diagnostic,2110279,4,7,3,5.5
"Doppler echocardiography, fetal, pulsed wave and/or continuous wave with spectral display; complete",2211763,4,7,3,5.5
"Echocardiography, fetal, cardiovascular system, real time with image documentation (2D), with or without M-mode recording",2722250,4,7,3,5.5
Estriol,2212323,3.75,5.5,1.75,4.625
Estriol (E3).unconjugated [Mass/volume] in Serum or Plasma,3025455,3.75,5.5,1.75,4.625
False labor at or after 37 completed weeks of gestation,4062558,9,11,2,10
First trimester pregnancy,4239938,1,4,3,2.5
Gestation less than 9 weeks,4322726,1,3,2,2
"Gestation period, 10 weeks",4242241,2.5,2.5,0,2.5
"Gestation period, 11 weeks",4174506,2.75,2.75,0,2.75
"Gestation period, 12 weeks",4197245,3,3,0,3
"Gestation period, 13 weeks",4266517,3.25,3.25,0,3.25
"Gestation period, 14 weeks",4248725,3.5,3.5,0,3.5
"Gestation period, 15 weeks",4283690,3.75,3.75,0,3.75
"Gestation period, 16 weeks",4049621,4,4,0,4
"Gestation period, 17 weeks",4277749,4.25,4.25,0,4.25
"Gestation period, 18 weeks",4097608,4.5,4.5,0,4.5
"Gestation period, 19 weeks",4181751,4.75,4.75,0,4.75
"Gestation period, 20 weeks",4051642,5,5,0,5
"Gestation period, 21 weeks",4185780,5.25,5.25,0,5.25
"Gestation period, 22 weeks",4274955,5.5,5.5,0,5.5
"Gestation period, 23 weeks",4336226,5.75,5.75,0,5.75
"Gestation period, 25 weeks",435640,6.25,6.25,0,6.25
"Gestation period, 26 weeks",444023,6.5,6.5,0,6.5
"Gestation period, 27 weeks",432430,6.75,6.75,0,6.75
"Gestation period, 28 weeks",444461,7,7,0,7
"Gestation period, 29 weeks",444417,7.25,7.25,0,7.25
"Gestation period, 30 weeks",434484,7.5,7.5,0,7.5
"Gestation period, 31 weeks",433864,7.75,7.75,0,7.75
"Gestation period, 32 weeks",442558,8,8,0,8
"Gestation period, 33 weeks",441678,8.25,8.25,0,8.25
"Gestation period, 34 weeks",443874,8.5,8.5,0,8.5
"Gestation period, 35 weeks",444267,8.75,8.75,0,8.75
"Gestation period, 36 weeks",438543,9,9,0,9
"Gestation period, 37 weeks",442355,9.25,9.25,0,9.25
"Gestation period, 38 weeks",443871,9.5,9.5,0,9.5
"Gestation period, 39 weeks",435655,9.75,9.75,0,9.75
"Gestation period, 40 weeks",444098,10,10,0,10
"Gestation period, 8 weeks",4132434,2,2,0,2
Glucose [Mass/volume] in Serum or Plasma --1 hour post 100 g glucose PO,3014716,6,8,2,7
Glucose [Mass/volume] in Serum or Plasma --1 hour post 50 g glucose PO,3016699,6,8,2,7
Glucose [Mass/volume] in Serum or Plasma --1 hour post dose glucose,3010300,6,9,3,7.5
Glucose [Mass/volume] in Serum or Plasma --2 hours post 100 g glucose PO,3006717,6,8,2,7
Glucose [Mass/volume] in Serum or Plasma --3 hours post 100 g glucose PO,3027457,6,8,2,7
Glucose [Mass/volume] in Serum or Plasma --3 hours post dose glucose,3027198,6,8,2,7
Glucose; post glucose dose (includes glucose),2212361,6,8,2,7
"Glucose; tolerance test (GTT), 3 specimens (includes glucose)",2212362,6,8,2,7
"Glucose; tolerance test, each additional beyond 3 specimens (List separately in addition to code for primary procedure)",2212363,6,8,2,7
Group B streptococcus carrier complicating pregnancy,37016152,8,11,3,9.5
"Infectious agent detection by nucleic acid (DNA or RNA); Streptococcus, group B, amplified probe technique",2213172,8,11,3,9.5
Inhibin [Mass/volume] in Serum or Plasma,3012620,3.75,5.5,1.75,4.625
Inhibin A,2212802,3.75,5.5,1.75,4.625
Inhibin A [Multiple of the median] in Serum or Plasma,3035828,3.75,5.5,1.75,4.625
Neural tube defect risk [Likelihood] in Fetus,3048541,3.75,5.5,1.75,4.625
Post-term pregnancy,432695,9,11,2,10
Pregnancy test positive,4094910,1,4,3,2.5
Progesterone,2212538,1,4,3,2.5
Progesterone [Mass/volume] in Serum or Plasma,3027144,1,4,3,2.5
Second trimester pregnancy,4244438,3.5,6.25,2.75,4.875
Second trimester quad maternal screen [Interpretation] in Serum or Plasma Narrative,3049229,3.75,5.5,1.75,4.625
Streptococcus agalactiae [Presence] in Specimen by Organism specific culture,3036000,8,11,3,9.5
Streptococcus agalactiae [Presence] in Vag+Rectum by Organism specific culture,43055441,8,11,3,9.5
Streptococcus agalactiae DNA [Presence] in Specimen by NAA with probe detection,3048882,8,11,3,9.5
Trisomy 18 risk [Likelihood] in Fetus,3047352,2.75,5.5,2.75,4.125
Trisomy 21 risk [Likelihood] in Fetus,3043238,2.75,5.5,2.75,4.125
"Ultrasonic guidance for amniocentesis, imaging supervision and interpretation",2211785,4,7,3,5.5
"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation plus detailed fetal anatomic examination, transabdominal approach; single or first gestation",2211751,4,6,2,5
"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, first trimester (< 14 weeks 0 days), transabdominal approach; single or first gestation",2211747,2,4,2,3
"Ultrasound, pregnant uterus, real time with image documentation, first trimester fetal nuchal translucency measurement, transabdominal or transvaginal approach; single or first gestation",2211753,2.75,3.5,0.75,3.125
Uncertain viability of pregnancy,4084768,1,3,2,2
